round_epochs,val_loss,val_out1_loss,val_out2_loss,val_out1_mae,val_out1_mse,val_out2_mae,val_out2_mse,loss,out1_loss,out2_loss,out1_mae,out1_mse,out2_mae,out2_mse,activation,dropRate,epochs,last_activation,learningRate,nNodes,optimizer,patienceModel,regCons
50,0.005797491799522605,6.625790410907939e-05,0.005731233861297369,0.005934036336839199,6.625790410907939e-05,0.03794664144515991,0.005731233861297369,0.006055453581373311,0.00033596493,0.0057194894,0.006036269,6.719298e-05,0.038106136,0.0057194894,tanh,0.0,50,linear,0.3,4,<class 'keras.optimizers.Adam'>,10,0.0
50,0.6171337360427493,0.0010945529211312532,0.3730764091014862,0.0314362496137619,0.0010945529211312532,0.5658579468727112,0.3730764091014862,0.6255123901461798,0.0065049436,0.3816659,0.034323342,0.0013009892,0.5735391,0.3816659,tanh,0.0,50,linear,0.3,4,<class 'keras.optimizers.Adam'>,10,0.01
50,0.1725498485659796,5.9965390391880646e-05,0.05066527798771858,0.005490421317517757,5.9965390391880646e-05,0.198029562830925,0.05066527798771858,0.17367970971834093,0.00038940427,0.04875138,0.0064895614,7.788083e-05,0.19327791,0.04875138,tanh,0.0,50,linear,0.3,4,<class 'keras.optimizers.Adam'>,10,0.001
50,1.1458816829181853,0.05091570317745209,0.6622616648674011,0.2191406488418579,0.05091570317745209,0.7565606236457825,0.6622616648674011,1.3554752332823616,0.25877696,0.6678026,0.22107418,0.05175536,0.76115376,0.6678026,tanh,0.0,50,linear,0.3,4,<class 'keras.optimizers.Adam'>,10,0.1
50,0.016305359988103785,0.0001347357756458223,0.016170624643564224,0.008800027891993523,0.0001347357756458223,0.08438370376825333,0.016170624643564224,0.01707018436531403,0.00068188366,0.016388291,0.008869104,0.00013637675,0.08461446,0.016388291,tanh,0.0,50,linear,0.3,4,<class 'keras.optimizers.SGD'>,10,0.0
50,0.6243224981285277,0.001547123771160841,0.3887934684753418,0.03678417578339577,0.001547123771160841,0.5755091309547424,0.3887934982776642,0.6358068165798035,0.008104327,0.39253744,0.035301596,0.0016208636,0.5794013,0.39253744,tanh,0.0,50,linear,0.3,4,<class 'keras.optimizers.SGD'>,10,0.01
50,0.1781965707502668,8.493547647958621e-05,0.051545895636081696,0.006978203076869249,8.493547647958621e-05,0.19559945166110992,0.051545895636081696,0.17959508588389744,0.00040287696,0.05218584,0.0066525065,8.057541e-05,0.19690682,0.05218584,tanh,0.0,50,linear,0.3,4,<class 'keras.optimizers.SGD'>,10,0.001
50,1.1753079121074979,0.04698138311505318,0.6636452078819275,0.20560768246650696,0.04698138311505318,0.7565397024154663,0.6636452078819275,1.3741607000903477,0.2723268,0.6695354,0.22108312,0.05446535,0.7614582,0.66953546,tanh,0.0,50,linear,0.3,4,<class 'keras.optimizers.SGD'>,10,0.1
50,0.005160164025368258,6.090648457757197e-05,0.005099256988614798,0.005706979893147945,6.090648457757197e-05,0.03602132946252823,0.005099256988614798,0.00541908372487385,0.00032488196,0.0050942055,0.0059777466,6.4976426e-05,0.03595254,0.0050942055,tanh,0.0,50,linear,0.3,8,<class 'keras.optimizers.Adam'>,10,0.0
50,0.616478354306448,0.0012112470576539636,0.37746644020080566,0.03325025737285614,0.0012112470576539636,0.568591833114624,0.37746644020080566,0.6254794616547842,0.006517405,0.38161173,0.03432296,0.0013034813,0.57355475,0.38161173,tanh,0.0,50,linear,0.3,8,<class 'keras.optimizers.Adam'>,10,0.01
