batch_amount,liq_amount,rpm,impellerDiameter,solidDensity,Initial_Porosity,Granule_density,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Coarse
1200,600,600,0.75,300,0.2,441.8500984,0.868170949,0.997929632,0.999997608,1,1,1,1,1
1200,600,600,0.75,300,0.3,441.8485821,0.868120314,0.997926855,0.999997601,1,1,1,1,1
1200,600,600,0.75,300,0.4,441.8528487,0.867750851,0.997916954,0.99999759,1,1,1,1,1
1200,600,600,0.75,300,0.5,441.8487105,0.867451801,0.997908792,0.99999758,1,1,1,1,1
1200,600,600,0.75,400,0.1,521.5865117,0.857109707,0.997497391,0.999996764,1,1,1,1,1
1200,600,600,0.75,400,0.2,521.5857404,0.859159944,0.997560623,0.999996851,1,1,1,1,1
1200,600,600,0.75,400,0.3,521.5891452,0.857521905,0.997511048,0.999996787,1,1,1,1,1
1200,600,600,0.75,400,0.4,521.5883005,0.858992424,0.9975555,0.999996845,1,1,1,1,1
1200,600,600,0.75,400,0.5,521.5859207,0.857508107,0.997508955,0.99999678,1,1,1,1,1
1200,600,600,0.75,500,0.1,601.3224404,0.850150683,0.997172198,0.999996018,1,1,1,1,1
1200,600,600,0.75,500,0.2,601.3212109,0.850056438,0.997169129,0.999996014,1,1,1,1,1
1200,600,600,0.75,500,0.3,601.3207407,0.851479847,0.997216353,0.999996083,1,1,1,1,1
1200,600,600,0.75,500,0.5,601.3213759,0.851949546,0.997233931,0.999996117,1,1,1,1,1
1200,600,600,0.125,200,0.3,362.1370382,1,1,1,1,1,1,1,1
1200,600,600,0.125,200,0.4,362.1370382,1,1,1,1,1,1,1,1
1200,600,600,0.125,200,0.5,362.1370382,1,1,1,1,1,1,1,1
1200,600,600,0.175,200,0.3,362.1370382,1,1,1,1,1,1,1,1
1200,600,600,0.175,200,0.4,362.1370382,1,1,1,1,1,1,1,1
1200,600,600,0.175,200,0.5,362.1370382,1,1,1,1,1,1,1,1
1200,600,600,0.25,200,0.1,362.0478469,0.878361905,0.973842697,0.999533429,0.999999574,1,1,1,1
1200,600,600,0.25,200,0.2,362.0478425,0.898090169,0.975086823,0.999554684,0.999999592,1,1,1,1
1200,600,600,0.25,200,0.3,362.1370382,1,1,1,1,1,1,1,1
1200,600,600,0.25,200,0.4,362.1370382,1,1,1,1,1,1,1,1
1200,600,600,0.25,200,0.5,362.1370382,1,1,1,1,1,1,1,1
1200,700,200,0.75,200,0.2,362.0983102,0.938197468,0.980580905,0.999649171,0.999999695,1,1,1,1
1200,700,200,0.75,200,0.3,362.1090616,0.93911312,0.980102446,0.999603529,0.999999616,1,1,1,1
1200,700,200,0.125,200,0.3,361.951368,0.998297154,0.998465803,0.998595422,0.998861525,0.998861525,0.999899952,0.999899952,1
1200,700,200,0.125,200,0.4,361.9523438,0.998259206,0.998421139,0.998526677,0.998842561,0.998842561,0.999905,0.999905,1
1200,700,200,0.125,200,0.5,361.9469904,0.998219983,0.998359927,0.998446495,0.998827513,0.998827513,0.999910437,0.999910437,1
1200,700,200,0.175,200,0.3,362.0029817,0.996146599,0.997000868,0.9977974,0.998739708,0.998739708,0.999982573,0.999999994,1
1200,700,200,0.175,200,0.4,362.0029239,0.996223151,0.997045554,0.997769276,0.998730064,0.998730064,0.99998264,0.999999994,1
1200,700,200,0.175,200,0.5,361.9961449,0.996309372,0.997076359,0.997730567,0.998724823,0.998724823,0.999982891,0.999999994,1
1200,700,200,0.25,200,0.3,362.0447605,0.989157642,0.992307583,0.99526168,0.999523077,0.99999895,0.99999895,1,1
1200,700,200,0.25,200,0.4,362.0446827,0.989111749,0.99229586,0.995227344,0.999519834,0.999998942,0.999998942,1,1
1200,700,200,0.25,200,0.5,362.0368995,0.989099403,0.992290691,0.995188826,0.999519093,0.999998966,0.999998966,1,1
1200,700,306,0.75,200,0.2,362.0761124,0.898657132,0.99181609,0.999957328,0.999999986,1,1,1,1
1200,700,306,0.75,200,0.3,362.0868795,0.899021323,0.990939376,0.999946728,0.999999982,1,1,1,1
1200,700,306,0.75,200,0.4,362.0869243,0.899128987,0.990940306,0.999946682,0.999999982,1,1,1,1
1200,700,306,0.75,200,0.5,362.0807928,0.899348518,0.991113496,0.999948956,0.999999983,1,1,1,1
1200,700,306,0.125,200,0.2,362.0120065,0.994405468,0.995833768,0.997265258,0.998860692,0.998860692,0.999990149,0.999999998,1
1200,700,306,0.175,200,0.2,362.0489055,0.988271009,0.991637179,0.994703693,0.99964719,0.999999419,0.999999419,1,1
1200,700,306,0.25,200,0.2,362.0764312,0.977372434,0.985848219,0.9953438,0.999947112,0.999999977,0.999999977,1,1
