batch_amount,liq_amount,rpm,impellerDiameter,solidDensity,Initial_Porosity,Granule_density,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Coarse
900,600,200,0.125,500,0.3,570.5093545,0.145880773,0.289608436,0.419622606,0.535944333,0.535944333,0.944945675,0.944945675,1
900,600,200,0.125,500,0.4,570.50937,0.144705838,0.287412083,0.416461868,0.532074738,0.532074738,0.944894798,0.944894798,1
900,600,200,0.125,500,0.5,570.5093899,0.143387347,0.284928049,0.412961403,0.528025621,0.528025621,0.944830832,0.944830832,1
900,600,200,0.125,600,0.1,656.4073669,0.157391111,0.312849027,0.453806432,0.575970942,0.575970942,0.945166985,0.945166985,1
900,600,200,0.125,600,0.2,656.4073681,0.156664184,0.311645586,0.451860201,0.573008125,0.573008125,0.945091344,0.945091344,1
900,600,200,0.125,600,0.3,656.4073708,0.155779051,0.310119027,0.449644459,0.569834208,0.569834208,0.945002612,0.945002612,1
900,600,200,0.125,600,0.4,656.4073759,0.154833262,0.30843389,0.447293776,0.566596765,0.566596765,0.944911829,0.944911829,1
900,600,200,0.125,600,0.5,656.4073832,0.153825018,0.306585744,0.444780698,0.563286638,0.563286638,0.944817725,0.944817725,1
900,600,200,0.125,700,0.1,742.305472,0.160620055,0.320621358,0.468739186,0.595995547,0.595995547,0.945494236,0.945494236,1
900,600,200,0.125,700,0.2,742.3054688,0.16046733,0.320330484,0.467863431,0.594242925,0.594242925,0.945472474,0.945472474,1
900,600,200,0.125,700,0.3,742.3054658,0.160112435,0.319702794,0.466701984,0.592192338,0.592192338,0.945429173,0.945429173,1
900,600,200,0.125,700,0.4,742.3054634,0.159613449,0.318789085,0.465277859,0.589891501,0.589891501,0.945368275,0.945368275,1
900,600,200,0.125,700,0.5,742.305462,0.159053588,0.317714688,0.463690337,0.587467945,0.587467945,0.945298487,0.945298487,1
900,600,306,0.125,200,0.1,342.7802958,0.189968343,0.399103644,0.614176834,0.848482784,0.848482784,0.998975748,0.999999808,1
900,600,306,0.125,200,0.2,342.7909277,0.190989596,0.400139225,0.611910625,0.847657926,0.847657926,0.998966787,0.999999804,1
900,600,306,0.125,200,0.3,342.7909818,0.192792891,0.400599339,0.604339173,0.844870703,0.844870703,0.998953764,0.999999801,1
900,600,306,0.125,200,0.4,342.7804763,0.193660352,0.399244582,0.594981359,0.84180026,0.84180026,0.998945758,0.999999802,1
900,600,306,0.125,200,0.5,342.7911851,0.193395695,0.395718023,0.583087108,0.838000124,0.838000124,0.998920994,0.999999795,1
900,600,306,0.125,300,0.1,424.9359088,0.18386567,0.391731502,0.617354867,0.844878737,0.844878737,0.998711561,0.99999971,1
900,600,306,0.125,300,0.2,424.9422197,0.184379473,0.392679298,0.617933146,0.84506132,0.84506132,0.998709509,0.999999707,1
900,600,306,0.125,300,0.3,424.9422231,0.184999439,0.393745347,0.618439405,0.845255358,0.845255358,0.998712766,0.999999708,1
900,600,306,0.125,300,0.4,424.9358477,0.185744853,0.394992536,0.618810401,0.845441487,0.845441487,0.998721275,0.999999713,1
900,600,306,0.125,300,0.5,424.9422311,0.187016484,0.396979295,0.618635716,0.845626693,0.845626693,0.998715356,0.999999711,1
900,600,306,0.125,400,0.1,507.0912638,0.176401586,0.377393647,0.605488986,0.841666754,0.841666754,0.998528691,0.999999615,1
900,600,306,0.125,400,0.2,507.0912646,0.176628927,0.377894041,0.605902718,0.841927972,0.841927972,0.998532091,0.999999616,1
900,600,306,0.125,400,0.3,507.091265,0.176846694,0.378343418,0.606242056,0.842163647,0.842163647,0.998535196,0.999999617,1
900,600,306,0.125,400,0.4,507.0912652,0.177087032,0.378834621,0.606504141,0.842370101,0.842370101,0.998537956,0.999999618,1
900,600,306,0.125,400,0.5,507.0912658,0.177338995,0.37935801,0.606734767,0.842572424,0.842572424,0.998540551,0.999999619,1
900,600,306,0.125,500,0.1,589.2427504,0.17667948,0.378652144,0.609923284,0.841698104,0.841698104,0.998434166,0.999999563,1
900,600,306,0.125,500,0.2,589.2427512,0.176797698,0.378993745,0.610334915,0.841877903,0.841877903,0.998437092,0.999999564,1
900,600,306,0.125,500,0.3,589.2427513,0.176919457,0.379283336,0.610692756,0.84203125,0.84203125,0.99843993,0.999999565,1
900,600,306,0.125,500,0.4,589.2427512,0.177040468,0.379543221,0.611003267,0.842163201,0.842163201,0.998442704,0.999999566,1
900,600,306,0.125,500,0.5,589.2427505,0.177165504,0.379797659,0.611262673,0.842277021,0.842277021,0.99844537,0.999999567,1
900,600,306,0.125,600,0.1,671.3942312,0.175604854,0.375687006,0.604737258,0.840560775,0.840560775,0.998264193,0.999999495,1
900,600,306,0.125,600,0.2,671.3942335,0.175718987,0.376037475,0.605109275,0.840742138,0.840742138,0.998267062,0.999999496,1
900,600,306,0.125,600,0.3,671.3942356,0.175844665,0.376399844,0.60548488,0.840922754,0.840922754,0.99826993,0.999999497,1
900,600,306,0.125,600,0.4,671.3942375,0.175984117,0.376786222,0.605873479,0.841105287,0.841105287,0.998272833,0.999999498,1
900,600,306,0.125,600,0.5,671.3942391,0.17613288,0.377186883,0.606265761,0.841287222,0.841287222,0.99827576,0.999999499,1
900,600,306,0.125,700,0.1,753.5456942,0.174477817,0.373235182,0.600465076,0.840200799,0.840200799,0.998132772,0.999999402,1
900,600,306,0.125,700,0.2,753.5456955,0.174540209,0.373439562,0.600673318,0.840318965,0.840318965,0.998134989,0.999999403,1
900,600,306,0.125,700,0.3,753.5456968,0.174604516,0.373646147,0.600884244,0.84043671,0.84043671,0.998137169,0.999999404,1
900,600,306,0.125,700,0.4,753.5456981,0.174673489,0.373857701,0.601096317,0.840553866,0.840553866,0.998139333,0.999999405,1
900,600,306,0.125,700,0.5,753.5456992,0.174749201,0.374080249,0.601312527,0.840671407,0.840671407,0.99814151,0.999999406,1
900,600,400,0.125,200,0.1,341.6248158,0.203633014,0.436536475,0.65552997,0.970848685,0.999948857,0.999948857,0.999999997,1
900,600,400,0.125,200,0.2,341.6248124,0.204066982,0.437057326,0.654902159,0.97083717,0.999948854,0.999948854,0.999999997,1
900,600,400,0.125,200,0.3,341.6247954,0.205348137,0.43842338,0.653991971,0.970806194,0.999948802,0.999948802,0.999999997,1
900,600,400,0.125,200,0.4,341.6141891,0.206819372,0.439763621,0.652601255,0.970832453,0.999949519,0.999949519,0.999999997,1
